Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,OddHome,OddDraw,OddAway,Over25,Under25
SP1,2010-01-10,Sp Gijon,Getafe,1655.67,1728.24,1.0,4.0,9.0,12.0,1.0,0.0,H,2.5,3.3,2.75,1.97,1.78
SP1,2010-01-10,Tenerife,Barcelona,1633.8,1989.8,1.0,5.0,7.0,13.0,0.0,5.0,A,7.5,4.5,1.4,1.6,2.23
SP1,2010-01-10,Xerez,Valencia,1594.42,1816.9,0.0,0.0,4.0,8.0,1.0,3.0,A,6.0,3.75,1.57,1.9,1.84
E0,2010-01-11,Man City,Blackburn,1745.52,1642.07,9.0,10.0,2.0,3.0,4.0,1.0,H,1.44,4.33,8.0,1.76,2.0
F1,2010-01-13,Boulogne,Sochaux,1504.21,1633.4,1.0,4.0,6.0,10.0,0.0,0.0,D,3.0,3.0,2.38,2.42,1.52
F1,2010-01-13,Monaco,Montpellier,1649.33,1644.39,5.0,5.0,3.0,9.0,4.0,0.0,H,2.3,3.0,3.1,2.22,1.59
D1,2010-01-15,Bayern Munich,Hoffenheim,1859.88,1683.31,9.0,13.0,2.0,5.0,2.0,0.0,H,1.4,4.5,8.0,1.6,2.25
D1,2010-01-16,Ein Frankfurt,Werder Bremen,1624.11,1785.53,5.0,8.0,1.0,5.0,1.0,0.0,H,3.75,3.5,1.95,1.72,2.03
D1,2010-01-16,Hamburg,Freiburg,1759.95,1585.59,7.0,8.0,2.0,5.0,2.0,0.0,H,1.4,4.5,7.5,1.7,2.06
D1,2010-01-16,Hannover,Hertha,1619.24,1584.81,1.0,1.0,1.0,2.0,0.0,3.0,A,2.2,3.25,3.3,1.91,1.83
D1,2010-01-16,Leverkusen,Mainz,1762.8,1624.37,5.0,9.0,1.0,3.0,4.0,2.0,H,1.4,4.33,8.5,1.74,2.01
D1,2010-01-16,MGladbach,Bochum,1607.31,1589.5,3.0,9.0,4.0,8.0,1.0,2.0,A,1.85,3.5,4.0,1.83,1.91
D1,2010-01-16,Stuttgart,Wolfsburg,1714.12,1751.03,5.0,6.0,2.0,3.0,3.0,1.0,H,2.25,3.25,3.2,1.66,2.13
E0,2010-01-16,Chelsea,Sunderland,1947.83,1609.25,5.0,9.0,2.0,3.0,7.0,2.0,H,1.22,6.0,15.0,1.6,2.23
E0,2010-01-16,Everton,Man City,1714.63,1752.21,5.0,7.0,9.0,12.0,2.0,0.0,H,2.88,3.25,2.5,1.99,1.77
E0,2010-01-16,Man United,Burnley,1925.45,1558.53,7.0,10.0,1.0,3.0,3.0,0.0,H,1.17,7.0,17.0,1.48,2.52
E0,2010-01-16,Stoke,Liverpool,1630.76,1846.09,3.0,4.0,6.0,9.0,1.0,1.0,D,3.5,3.2,2.2,2.18,1.64
E0,2010-01-16,Tottenham,Hull,1767.25,1553.76,7.0,10.0,1.0,2.0,0.0,0.0,D,1.25,6.0,11.0,1.55,2.34
E0,2010-01-16,Wolves,Wigan,1565.49,1620.26,3.0,6.0,1.0,2.0,0.0,2.0,A,2.3,3.25,3.2,2.16,1.65
I1,2010-01-16,Bari,Inter,1643.41,1892.4,6.0,9.0,9.0,10.0,2.0,2.0,D,4.33,3.25,1.91,2.11,1.67
I1,2010-01-16,Cagliari,Livorno,1685.17,1584.93,5.0,8.0,6.0,9.0,3.0,0.0,H,1.83,3.0,5.5,2.18,1.63
SP1,2010-01-16,Ath Bilbao,Real Madrid,1713.42,1906.22,4.0,7.0,7.0,13.0,1.0,0.0,H,6.0,3.8,1.57,1.8,1.95
SP1,2010-01-16,Barcelona,Sevilla,1987.59,1814.06,7.0,13.0,0.0,4.0,4.0,0.0,H,1.33,5.0,8.5,1.59,2.25
SP1,2010-01-16,Osasuna,Espanol,1689.69,1683.82,1.0,2.0,6.0,6.0,2.0,0.0,H,2.05,3.25,3.75,2.25,1.6
F1,2010-01-16,Auxerre,Boulogne,1705.02,1505.58,5.0,6.0,2.0,5.0,0.0,0.0,D,1.44,4.0,8.0,2.17,1.62
F1,2010-01-16,Grenoble,St Etienne,1521.95,1600.42,1.0,4.0,1.0,2.0,1.0,2.0,A,2.5,3.0,3.0,2.44,1.5
F1,2010-01-16,Le Mans,Lorient,1581.67,1671.19,4.0,7.0,3.0,4.0,0.0,3.0,A,2.38,3.0,3.2,2.27,1.57
F1,2010-01-16,Lille,Paris SG,1782.85,1721.43,9.0,15.0,4.0,7.0,3.0,1.0,H,1.91,3.25,4.2,2.19,1.61
F1,2010-01-16,Monaco,Sochaux,1661.3,1632.04,5.0,8.0,7.0,8.0,2.0,0.0,H,2.0,3.2,4.0,2.33,1.54
F1,2010-01-16,Montpellier,Nice,1632.43,1618.66,3.0,6.0,2.0,2.0,1.0,0.0,H,1.75,3.4,5.0,2.2,1.6
F1,2010-01-16,Nancy,Lyon,1640.35,1773.56,6.0,9.0,4.0,4.0,0.0,2.0,A,4.33,3.25,1.91,2.1,1.67
F1,2010-01-16,Rennes,Lens,1711.08,1611.41,3.0,9.0,5.0,8.0,1.0,1.0,D,1.75,3.4,5.0,2.27,1.57
F1,2010-01-16,Valenciennes,Toulouse,1666.69,1677.88,2.0,5.0,1.0,4.0,1.0,3.0,A,2.15,3.1,3.6,2.35,1.54
F1,2010-01-17,Bordeaux,Marseille,1868.68,1772.71,9.0,15.0,4.0,10.0,1.0,1.0,D,2.0,3.2,4.0,2.15,1.64
SP1,2010-01-17,Almeria,Tenerife,1658.73,1621.99,4.0,5.0,1.0,4.0,1.0,1.0,D,1.95,3.4,3.8,2.14,1.66
SP1,2010-01-17,Ath Madrid,Sp Gijon,1762.28,1662.04,7.0,10.0,4.0,4.0,3.0,2.0,H,1.57,3.8,6.0,1.68,2.1
SP1,2010-01-17,Malaga,Getafe,1672.4,1724.75,5.0,7.0,6.0,9.0,1.0,0.0,H,2.5,3.25,2.8,2.0,1.76
SP1,2010-01-17,Mallorca,La Coruna,1786.87,1754.16,3.0,9.0,5.0,6.0,2.0,0.0,H,2.15,3.25,3.4,2.11,1.67
SP1,2010-01-17,Santander,Valladolid,1707.83,1646.5,6.0,12.0,3.0,5.0,1.0,1.0,D,2.0,3.3,3.6,2.08,1.7
SP1,2010-01-17,Valencia,Villarreal,1826.14,1762.72,7.0,10.0,5.0,11.0,4.0,1.0,H,1.91,3.6,3.75,1.73,2.03
SP1,2010-01-17,Zaragoza,Xerez,1665.08,1583.5,1.0,1.0,0.0,0.0,0.0,0.0,D,1.67,3.6,5.25,1.94,1.81
I1,2010-01-17,Atalanta,Lazio,1600.35,1618.09,1.0,1.0,4.0,7.0,3.0,0.0,H,2.5,3.1,2.9,2.26,1.59
I1,2010-01-17,Chievo,Juventus,1643.19,1766.83,0.0,6.0,3.0,6.0,1.0,0.0,H,3.5,3.25,2.1,2.11,1.68
I1,2010-01-17,Fiorentina,Bologna,1781.74,1578.38,6.0,9.0,0.0,4.0,1.0,2.0,A,1.5,3.75,7.5,2.01,1.74
I1,2010-01-17,Milan,Siena,1822.4,1566.96,6.0,12.0,0.0,6.0,4.0,0.0,H,1.25,5.25,13.0,1.7,2.07
I1,2010-01-17,Napoli,Palermo,1684.09,1701.72,9.0,13.0,7.0,13.0,0.0,0.0,D,2.1,3.25,3.5,2.06,1.71
I1,2010-01-17,Parma,Udinese,1643.06,1668.93,0.0,4.0,1.0,4.0,0.0,0.0,D,2.1,3.2,3.6,2.15,1.65
I1,2010-01-17,Roma,Genoa,1786.14,1696.01,7.0,11.0,3.0,7.0,3.0,0.0,H,1.7,3.6,5.0,1.73,2.04
I1,2010-01-17,Sampdoria,Catania,1651.05,1569.51,1.0,2.0,6.0,6.0,1.0,1.0,D,1.8,3.4,4.6,2.02,1.74
D1,2010-01-17,FC Koln,Dortmund,1594.48,1756.25,5.0,6.0,9.0,13.0,2.0,3.0,A,3.2,3.25,2.25,2.1,1.69
D1,2010-01-17,Schalke 04,Nurnberg,1764.14,1581.41,9.0,12.0,0.0,3.0,1.0,0.0,H,1.4,4.5,7.5,1.8,1.95
E0,2010-01-17,Aston Villa,West Ham,1748.5,1655.0,3.0,9.0,4.0,4.0,0.0,0.0,D,1.53,3.8,7.0,1.94,1.81
E0,2010-01-17,Blackburn,Fulham,1635.38,1728.29,2.0,2.0,1.0,5.0,2.0,0.0,H,2.4,3.25,3.0,2.1,1.69
E0,2010-01-17,Bolton,Arsenal,1620.47,1877.45,5.0,6.0,7.0,11.0,0.0,2.0,A,6.5,4.0,1.53,1.78,1.97
F1,2010-01-19,St Etienne,Rennes,1600.42,1711.08,4.0,4.0,4.0,7.0,0.0,0.0,D,2.88,3.0,2.6,2.38,1.53
E0,2010-01-20,Arsenal,Bolton,1877.45,1620.47,7.0,13.0,2.0,6.0,4.0,2.0,H,1.22,5.5,17.0,1.56,2.32
E0,2010-01-20,Liverpool,Tottenham,1846.09,1767.25,7.0,10.0,5.0,11.0,2.0,0.0,H,2.4,3.25,3.0,2.01,1.74
F1,2010-01-20,Boulogne,Valenciennes,1505.58,1666.69,3.0,3.0,1.0,2.0,0.0,2.0,A,3.0,3.1,2.45,2.13,1.65
